PRODUCT_ID,HOLDING_COST_PER_UNIT_PER_DAY,STOCKOUT_COST_PER_UNIT,ORDERING_COST,TRANSPORT_COST_PER_UNIT
SKU_001,0.62,189.2,1726.21,41.13
SKU_002,0.84,270.74,1053.33,45.76
SKU_003,0.71,126.84,940.7,38.98
SKU_004,2.61,223.0,1742.19,28.61
SKU_005,0.53,238.24,1457.79,13.46
SKU_006,2.65,87.87,1847.39,12.28
SKU_007,1.63,150.15,1444.83,24.97
SKU_008,0.51,170.7,1611.23,28.55
SKU_009,1.5,138.92,1754.67,34.36
SKU_010,0.97,130.53,582.11,10.26
SKU_011,2.06,221.6,1664.07,49.59
SKU_012,2.2,103.97,1420.56,24.56
SKU_013,1.72,227.35,604.26,43.92
SKU_014,0.6,283.76,1262.87,31.4
SKU_015,2.14,191.3,623.69,15.22
SKU_016,2.61,202.86,1603.92,41.9
SKU_017,2.3,67.23,1319.75,38.39
SKU_018,2.57,266.12,1930.36,31.1
SKU_019,1.0,121.36,774.7,30.58
SKU_020,2.72,203.76,1409.05,13.5
SKU_021,1.31,294.78,817.37,36.23
SKU_022,0.53,198.88,1421.1,46.45
SKU_023,2.61,231.18,1583.97,13.73
SKU_024,2.85,161.33,1583.46,20.54
SKU_025,2.14,65.09,1722.61,46.09
SKU_026,1.08,249.4,1780.33,21.37
SKU_027,1.13,58.75,615.91,36.16
SKU_028,1.67,225.16,1014.9,31.39
SKU_029,2.74,55.73,1530.68,33.85
SKU_030,0.87,265.58,1247.88,26.63
SKU_031,2.56,89.41,786.01,22.0
SKU_032,1.23,178.57,1329.06,11.94
SKU_033,2.52,199.29,1111.15,39.77
SKU_034,2.8,164.39,1085.06,39.84
SKU_035,1.57,135.19,1714.63,36.83
SKU_036,1.41,166.95,1111.4,35.75
SKU_037,2.51,127.85,539.68,19.75
SKU_038,1.82,159.53,587.1,10.89
SKU_039,2.21,139.73,1784.37,42.35
SKU_040,2.06,191.55,1940.9,29.65
SKU_041,0.88,109.48,1532.61,22.27
SKU_042,2.61,297.16,1046.55,14.08
SKU_043,0.99,175.22,1907.9,12.51
SKU_044,2.83,98.54,1494.2,23.95
SKU_045,1.13,169.27,1766.5,42.19
SKU_046,2.33,266.6,1648.78,46.75
SKU_047,1.21,55.45,1068.71,45.87
SKU_048,1.29,219.89,1218.05,46.8
SKU_049,1.28,186.99,779.2,46.31
SKU_050,2.37,92.39,938.02,31.09
