PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY,PRICE_SEGMENT,MRP,COST_PER_UNIT,WEIGHT_GRAMS,LAUNCH_DATE,LIFECYCLE_STAGE,DISCONTINUED_FLAG
SKU_001,Product_1,Earbuds,Smartwatch,Budget,3872,1128,91,2022-04-25,New,False
SKU_002,Product_2,Wearables,Neckband,Budget,3913,791,112,2022-03-19,New,False
SKU_003,Product_3,Wearables,Smartwatch,Mid,5646,750,120,2022-12-06,New,False
SKU_004,Product_4,Wearables,OverEar,Mid,4866,1007,106,2022-08-02,Mature,False
SKU_005,Product_5,Speakers,TWS,Premium,4657,1262,294,2022-12-25,Growth,False
SKU_006,Product_6,Earbuds,Smartwatch,Premium,4101,792,242,2022-12-03,Growth,False
SKU_007,Product_7,Headphones,Neckband,Premium,4296,1072,216,2022-10-13,Mature,False
SKU_008,Product_8,Earbuds,Smartwatch,Premium,1656,2189,163,2022-03-24,Mature,False
SKU_009,Product_9,Speakers,Smartwatch,Budget,4947,692,81,2022-08-13,New,False
SKU_010,Product_10,Earbuds,Smartwatch,Budget,5770,708,279,2022-06-17,Growth,False
SKU_011,Product_11,Earbuds,Neckband,Mid,3752,1276,138,2022-11-16,New,False
SKU_012,Product_12,Speakers,TWS,Premium,3411,1888,179,2022-10-12,Growth,False
SKU_013,Product_13,Wearables,TWS,Mid,4615,732,273,2022-09-11,Mature,False
SKU_014,Product_14,Speakers,Smartwatch,Budget,3991,1629,94,2022-09-27,Growth,False
SKU_015,Product_15,Wearables,TWS,Premium,2642,1063,174,2022-03-28,Growth,False
SKU_016,Product_16,Speakers,TWS,Mid,2598,1506,269,2022-01-18,Mature,False
SKU_017,Product_17,Earbuds,TWS,Mid,5830,861,250,2022-08-02,New,False
SKU_018,Product_18,Earbuds,TWS,Budget,2672,667,195,2022-05-01,New,False
SKU_019,Product_19,Speakers,Neckband,Budget,2449,1487,83,2022-12-26,Mature,False
SKU_020,Product_20,Headphones,TWS,Premium,1409,1134,259,2022-02-05,New,False
SKU_021,Product_21,Headphones,OverEar,Premium,5627,2543,284,2022-03-22,New,False
SKU_022,Product_22,Earbuds,OverEar,Budget,5981,1431,237,2022-10-02,New,False
SKU_023,Product_23,Headphones,TWS,Budget,3117,1319,227,2022-03-14,Growth,False
SKU_024,Product_24,Wearables,Neckband,Mid,5496,1854,229,2022-08-28,Growth,False
SKU_025,Product_25,Wearables,OverEar,Mid,1481,2731,204,2022-02-07,New,False
SKU_026,Product_26,Earbuds,TWS,Premium,3725,2567,261,2022-12-25,Growth,False
SKU_027,Product_27,Earbuds,TWS,Mid,4840,1164,128,2022-06-19,Mature,False
SKU_028,Product_28,Wearables,Neckband,Mid,4040,2291,53,2022-06-14,New,False
SKU_029,Product_29,Speakers,OverEar,Premium,5106,930,230,2022-01-17,Growth,False
SKU_030,Product_30,Wearables,TWS,Premium,1072,1253,209,2022-07-12,New,False
SKU_031,Product_31,Earbuds,OverEar,Mid,2228,569,99,2022-11-14,Mature,False
SKU_032,Product_32,Headphones,OverEar,Mid,4417,628,194,2022-08-20,Growth,False
SKU_033,Product_33,Headphones,Smartwatch,Premium,3542,1134,260,2022-09-17,Growth,False
SKU_034,Product_34,Earbuds,TWS,Premium,2492,2237,281,2022-11-06,New,False
SKU_035,Product_35,Headphones,OverEar,Budget,4196,2274,284,2022-04-14,Mature,False
SKU_036,Product_36,Earbuds,OverEar,Budget,3174,2881,79,2022-08-15,Mature,False
SKU_037,Product_37,Earbuds,TWS,Mid,3944,863,125,2022-01-10,Mature,False
SKU_038,Product_38,Wearables,Smartwatch,Mid,3360,415,99,2022-05-18,Mature,False
SKU_039,Product_39,Wearables,TWS,Premium,3808,901,280,2022-04-11,Growth,False
SKU_040,Product_40,Earbuds,OverEar,Budget,4819,649,104,2022-03-16,Mature,False
SKU_041,Product_41,Earbuds,Neckband,Mid,5241,1137,203,2022-12-16,New,False
SKU_042,Product_42,Earbuds,TWS,Mid,2039,1906,198,2022-10-25,New,False
SKU_043,Product_43,Wearables,Neckband,Budget,1946,2805,88,2022-08-15,Mature,False
SKU_044,Product_44,Headphones,OverEar,Mid,5345,2792,260,2022-12-15,Mature,False
SKU_045,Product_45,Earbuds,Smartwatch,Mid,5836,1368,180,2022-06-16,New,False
SKU_046,Product_46,Wearables,TWS,Budget,2946,1467,257,2022-08-21,Growth,False
SKU_047,Product_47,Earbuds,Smartwatch,Premium,1023,1179,241,2022-08-18,Growth,False
SKU_048,Product_48,Speakers,OverEar,Mid,1301,2738,135,2022-12-04,Growth,False
SKU_049,Product_49,Earbuds,Smartwatch,Premium,3230,1787,248,2022-11-28,Mature,False
SKU_050,Product_50,Earbuds,Neckband,Mid,2758,1283,55,2022-02-02,Growth,False
