DATE,PRODUCT_ID,WAREHOUSE_ID,ON_HAND_QTY,IN_TRANSIT_QTY,RESERVED_QTY,DAMAGED_QTY
2024-01-01,SKU_001,WH_North,235,298,119,42
2024-01-01,SKU_001,WH_South,987,191,22,40
2024-01-01,SKU_001,WH_West,141,69,165,34
2024-01-01,SKU_002,WH_North,615,349,121,18
2024-01-01,SKU_002,WH_South,1845,480,103,18
2024-01-01,SKU_002,WH_West,1595,430,153,36
2024-01-01,SKU_003,WH_North,563,148,144,4
2024-01-01,SKU_003,WH_South,1744,259,99,25
2024-01-01,SKU_003,WH_West,1508,101,56,47
2024-01-01,SKU_004,WH_North,1827,195,175,18
2024-01-01,SKU_004,WH_South,1503,269,108,30
2024-01-01,SKU_004,WH_West,171,203,101,24
2024-01-01,SKU_005,WH_North,1796,266,187,5
2024-01-01,SKU_005,WH_South,257,224,38,28
2024-01-01,SKU_005,WH_West,157,440,124,30
2024-01-01,SKU_006,WH_North,419,379,159,4
2024-01-01,SKU_006,WH_South,570,358,91,29
2024-01-01,SKU_006,WH_West,1912,35,7,15
2024-01-01,SKU_007,WH_North,993,126,187,32
2024-01-01,SKU_007,WH_South,793,293,2,38
2024-01-01,SKU_007,WH_West,1211,160,23,12
2024-01-01,SKU_008,WH_North,513,413,38,47
2024-01-01,SKU_008,WH_South,768,441,38,1
2024-01-01,SKU_008,WH_West,1878,433,129,48
2024-01-01,SKU_009,WH_North,1367,206,177,11
2024-01-01,SKU_009,WH_South,1964,294,25,42
2024-01-01,SKU_009,WH_West,1004,38,172,20
2024-01-01,SKU_010,WH_North,1020,491,36,32
2024-01-01,SKU_010,WH_South,858,368,73,22
2024-01-01,SKU_010,WH_West,514,321,73,49
2024-01-01,SKU_011,WH_North,780,110,39,0
2024-01-01,SKU_011,WH_South,908,309,184,33
2024-01-01,SKU_011,WH_West,1161,423,6,6
2024-01-01,SKU_012,WH_North,1076,268,69,33
2024-01-01,SKU_012,WH_South,547,221,90,20
2024-01-01,SKU_012,WH_West,1387,15,175,48
2024-01-01,SKU_013,WH_North,1951,244,192,32
2024-01-01,SKU_013,WH_South,403,433,49,19
2024-01-01,SKU_013,WH_West,254,369,98,35
2024-01-01,SKU_014,WH_North,1312,106,35,32
2024-01-01,SKU_014,WH_South,1710,89,112,33
2024-01-01,SKU_014,WH_West,188,94,191,44
2024-01-01,SKU_015,WH_North,1818,284,7,10
2024-01-01,SKU_015,WH_South,1564,249,49,30
2024-01-01,SKU_015,WH_West,163,395,60,38
2024-01-01,SKU_016,WH_North,1766,280,177,15
2024-01-01,SKU_016,WH_South,1788,164,151,37
2024-01-01,SKU_016,WH_West,1501,310,184,49
2024-01-01,SKU_017,WH_North,630,275,173,47
2024-01-01,SKU_017,WH_South,1601,98,52,16
2024-01-01,SKU_017,WH_West,694,385,169,2
2024-01-01,SKU_018,WH_North,1377,412,107,15
2024-01-01,SKU_018,WH_South,1314,474,79,16
2024-01-01,SKU_018,WH_West,1776,258,180,47
2024-01-01,SKU_019,WH_North,833,85,46,19
2024-01-01,SKU_019,WH_South,1134,121,21,20
2024-01-01,SKU_019,WH_West,396,461,77,8
2024-01-01,SKU_020,WH_North,1296,422,185,31
2024-01-01,SKU_020,WH_South,336,70,100,24
2024-01-01,SKU_020,WH_West,433,221,88,17
2024-01-01,SKU_021,WH_North,1027,324,77,41
2024-01-01,SKU_021,WH_South,1012,400,160,17
2024-01-01,SKU_021,WH_West,250,170,1,49
2024-01-01,SKU_022,WH_North,495,268,1,41
2024-01-01,SKU_022,WH_South,269,251,71,3
2024-01-01,SKU_022,WH_West,1766,232,104,25
2024-01-01,SKU_023,WH_North,1317,323,104,28
2024-01-01,SKU_023,WH_South,489,205,7,47
2024-01-01,SKU_023,WH_West,1467,312,197,26
2024-01-01,SKU_024,WH_North,1625,188,4,19
2024-01-01,SKU_024,WH_South,907,293,0,36
2024-01-01,SKU_024,WH_West,1780,302,1,41
2024-01-01,SKU_025,WH_North,1695,6,110,21
2024-01-01,SKU_025,WH_South,652,182,39,44
2024-01-01,SKU_025,WH_West,1740,66,44,14
2024-01-01,SKU_026,WH_North,218,173,118,49
2024-01-01,SKU_026,WH_South,535,196,40,45
2024-01-01,SKU_026,WH_West,1628,79,176,41
2024-01-01,SKU_027,WH_North,1548,170,125,14
2024-01-01,SKU_027,WH_South,814,432,171,47
2024-01-01,SKU_027,WH_West,773,192,186,37
2024-01-01,SKU_028,WH_North,1842,75,83,47
2024-01-01,SKU_028,WH_South,341,362,88,2
2024-01-01,SKU_028,WH_West,1834,422,181,28
2024-01-01,SKU_029,WH_North,692,27,174,5
2024-01-01,SKU_029,WH_South,103,171,89,21
2024-01-01,SKU_029,WH_West,114,115,40,10
2024-01-01,SKU_030,WH_North,911,22,145,7
2024-01-01,SKU_030,WH_South,464,117,71,0
2024-01-01,SKU_030,WH_West,1666,485,62,17
2024-01-01,SKU_031,WH_North,1361,265,64,26
2024-01-01,SKU_031,WH_South,1617,25,25,49
2024-01-01,SKU_031,WH_West,1485,500,106,32
2024-01-01,SKU_032,WH_North,1720,473,123,15
2024-01-01,SKU_032,WH_South,301,92,20,29
2024-01-01,SKU_032,WH_West,605,385,43,23
2024-01-01,SKU_033,WH_North,991,378,133,25
2024-01-01,SKU_033,WH_South,353,148,168,40
2024-01-01,SKU_033,WH_West,823,128,48,7
2024-01-01,SKU_034,WH_North,1412,39,158,0
2024-01-01,SKU_034,WH_South,405,443,64,7
2024-01-01,SKU_034,WH_West,1222,281,8,19
2024-01-01,SKU_035,WH_North,588,33,126,31
2024-01-01,SKU_035,WH_South,769,38,9,12
2024-01-01,SKU_035,WH_West,988,94,183,11
2024-01-01,SKU_036,WH_North,1225,482,49,10
2024-01-01,SKU_036,WH_South,516,443,95,31
2024-01-01,SKU_036,WH_West,1358,364,55,21
2024-01-01,SKU_037,WH_North,1934,420,166,47
2024-01-01,SKU_037,WH_South,937,261,146,38
2024-01-01,SKU_037,WH_West,1379,489,13,26
2024-01-01,SKU_038,WH_North,410,336,44,41
2024-01-01,SKU_038,WH_South,1504,361,77,33
2024-01-01,SKU_038,WH_West,910,247,23,48
2024-01-01,SKU_039,WH_North,1483,98,197,8
2024-01-01,SKU_039,WH_South,833,436,170,47
2024-01-01,SKU_039,WH_West,1901,205,164,23
2024-01-01,SKU_040,WH_North,250,267,122,7
2024-01-01,SKU_040,WH_South,198,357,7,0
2024-01-01,SKU_040,WH_West,1878,236,61,17
2024-01-01,SKU_041,WH_North,1753,10,85,24
2024-01-01,SKU_041,WH_South,783,98,36,0
2024-01-01,SKU_041,WH_West,1434,205,48,36
2024-01-01,SKU_042,WH_North,1111,342,169,9
2024-01-01,SKU_042,WH_South,685,237,40,5
2024-01-01,SKU_042,WH_West,858,188,35,30
2024-01-01,SKU_043,WH_North,1244,116,21,35
2024-01-01,SKU_043,WH_South,981,74,85,18
2024-01-01,SKU_043,WH_West,1802,358,52,43
2024-01-01,SKU_044,WH_North,1216,158,143,6
2024-01-01,SKU_044,WH_South,1552,71,33,22
2024-01-01,SKU_044,WH_West,1266,132,23,42
2024-01-01,SKU_045,WH_North,1646,372,150,41
2024-01-01,SKU_045,WH_South,619,138,40,43
2024-01-01,SKU_045,WH_West,944,217,33,28
2024-01-01,SKU_046,WH_North,293,26,176,41
2024-01-01,SKU_046,WH_South,1495,277,111,34
2024-01-01,SKU_046,WH_West,1785,224,107,9
2024-01-01,SKU_047,WH_North,1518,498,33,39
2024-01-01,SKU_047,WH_South,175,76,16,28
2024-01-01,SKU_047,WH_West,1278,47,94,0
2024-01-01,SKU_048,WH_North,1815,159,37,30
2024-01-01,SKU_048,WH_South,1856,12,122,30
2024-01-01,SKU_048,WH_West,1693,47,8,5
2024-01-01,SKU_049,WH_North,910,349,34,11
2024-01-01,SKU_049,WH_South,442,35,103,50
2024-01-01,SKU_049,WH_West,1327,277,21,39
2024-01-01,SKU_050,WH_North,1180,380,192,36
2024-01-01,SKU_050,WH_South,547,325,193,30
2024-01-01,SKU_050,WH_West,1460,493,102,19
