DATE,PRODUCT_ID,CHANNEL_ID,REGION,UNITS_SOLD,REVENUE,DISCOUNT_PERCENT,PROMOTION_FLAG,STOCKOUT_FLAG,PRICE
2023-01-13,SKU_022,Flipkart,South,0,0.0,0.23,1,1,1366
2023-02-10,SKU_037,Flipkart,East,69,82003.05,0.05,0,1,1251
2023-06-13,SKU_035,Flipkart,West,66,85922.1,0.01,0,0,1315
2023-05-25,SKU_012,Amazon,Central,19,57197.78999999999,0.07,1,1,3237
2023-03-23,SKU_008,Amazon,North,41,69844.31999999999,0.28,1,0,2366
2023-03-26,SKU_011,Distributor,West,35,69978.3,0.06,0,1,2127
2023-01-26,SKU_023,Retail,East,35,115522.4,0.02,1,1,3368
2023-01-04,SKU_044,Retail,West,7,21574.7,0.02,0,0,3145
2023-01-31,SKU_021,Flipkart,Central,37,141406.6,0.03,1,1,3940
2023-02-06,SKU_043,D2C,South,61,182311.91999999998,0.16,1,0,3558
2023-05-12,SKU_020,Retail,South,101,90900.0,0.2,0,0,1125
2023-06-05,SKU_029,Distributor,South,57,213187.41,0.13,1,1,4299
2023-03-05,SKU_007,Flipkart,South,52,153913.76,0.23,0,1,3844
2023-05-16,SKU_027,Flipkart,East,39,80490.54,0.26,1,1,2789
2023-02-07,SKU_039,Retail,South,37,69490.44,0.06,1,1,1998
2023-01-20,SKU_040,Distributor,South,68,167443.19999999998,0.05,1,0,2592
2023-03-23,SKU_047,Amazon,South,55,127864.0,0.2,0,0,2906
2023-06-17,SKU_042,D2C,East,37,129759.0,0.25,1,0,4676
2023-05-19,SKU_020,D2C,East,29,120338.40000000001,0.22,1,0,5320
2023-01-07,SKU_016,Amazon,Central,46,61430.7,0.13,0,1,1535
2023-02-19,SKU_031,D2C,North,39,121396.08,0.27,0,0,4264
2023-06-13,SKU_040,Flipkart,South,49,233400.72,0.11,0,1,5352
2023-02-17,SKU_034,Flipkart,East,45,155724.3,0.29,1,0,4874
2023-03-07,SKU_009,Distributor,North,57,131203.74,0.29,1,0,3242
2023-01-30,SKU_028,Retail,South,24,32096.64,0.27,0,0,1832
2023-02-08,SKU_035,Amazon,South,71,200521.75,0.21,1,1,3575
2023-04-14,SKU_045,Flipkart,West,105,131040.0,0.0,0,0,1248
2023-06-05,SKU_011,D2C,West,73,186747.13999999998,0.26,1,0,3457
2023-04-24,SKU_007,Flipkart,South,54,74396.88,0.11,0,1,1548
2023-01-17,SKU_026,Amazon,Central,67,176906.80000000002,0.08,1,1,2870
2023-05-03,SKU_006,Amazon,Central,29,26087.239999999998,0.14,1,0,1046
2023-03-29,SKU_022,D2C,Central,18,81696.96,0.24,0,0,5972
2023-03-27,SKU_015,D2C,East,65,219708.45,0.19,0,1,4173
2023-04-22,SKU_003,Amazon,North,39,195051.47999999998,0.03,0,0,5156
2023-01-28,SKU_038,Distributor,South,23,71057.35,0.09,0,1,3395
2023-04-16,SKU_049,Flipkart,South,32,73328.64,0.16,0,0,2728
2023-03-21,SKU_018,Flipkart,North,27,36581.76,0.27,0,1,1856
2023-05-17,SKU_028,D2C,Central,52,195786.24,0.04,0,0,3922
2023-04-29,SKU_044,Distributor,North,61,158194.35,0.15,0,1,3051
2023-03-07,SKU_047,Retail,North,67,88992.75,0.25,0,0,1771
2023-01-01,SKU_025,D2C,North,67,131994.69,0.03,1,1,2031
2023-03-06,SKU_030,Retail,West,65,108680.0,0.05,0,1,1760
2023-06-22,SKU_049,Amazon,West,45,173232.0,0.04,1,1,4010
2023-06-02,SKU_038,Flipkart,Central,37,45565.5,0.25,0,0,1642
2023-06-22,SKU_047,Retail,East,19,69403.2,0.04,0,0,3805
2023-01-08,SKU_009,Amazon,South,71,82377.75,0.25,1,0,1547
2023-02-10,SKU_011,Flipkart,Central,46,123176.04000000001,0.22,0,1,3433
2023-06-11,SKU_049,Retail,Central,41,124316.92,0.02,0,0,3094
2023-03-29,SKU_034,Retail,South,73,224061.82,0.14,1,0,3569
2023-02-08,SKU_044,Retail,East,32,112936.96,0.18,1,1,4304
2023-01-05,SKU_039,Amazon,East,66,167863.08,0.26,0,0,3437
2023-01-18,SKU_016,Retail,North,55,197714.0,0.05,1,0,3784
2023-04-24,SKU_004,Flipkart,Central,29,108322.83,0.23,0,1,4851
2023-01-03,SKU_014,Flipkart,East,48,120483.84,0.26,1,0,3392
2023-04-18,SKU_039,Amazon,South,69,104725.44,0.04,0,1,1581
2023-06-21,SKU_037,Flipkart,West,65,138791.25,0.25,0,1,2847
2023-05-29,SKU_025,Amazon,South,79,66421.62000000001,0.19,1,1,1038
2023-01-16,SKU_044,Amazon,North,56,217719.04,0.12,1,0,4418
2023-06-07,SKU_008,Distributor,North,117,426149.10000000003,0.1,1,1,4047
2023-06-03,SKU_010,D2C,Central,31,99281.84,0.24,0,1,4214
2023-05-14,SKU_040,Distributor,East,42,152421.36000000002,0.09,1,1,3988
2023-06-20,SKU_028,Retail,North,48,225071.04,0.03,1,0,4834
2023-05-19,SKU_045,Amazon,South,21,87054.45,0.15,0,1,4877
2023-02-20,SKU_012,D2C,Central,70,144205.6,0.12,0,0,2341
2023-04-19,SKU_011,Distributor,South,68,262082.88,0.28,0,1,5353
2023-03-21,SKU_040,Distributor,North,50,48195.0,0.15,1,1,1134
2023-01-23,SKU_021,Retail,East,39,61588.799999999996,0.16,0,0,1880
2023-04-09,SKU_016,Amazon,South,20,37320.0,0.0,1,0,1866
2023-05-18,SKU_003,Flipkart,Central,34,100572.0,0.13,1,1,3400
2023-05-01,SKU_033,Amazon,North,64,149597.44,0.27,0,1,3202
2023-03-25,SKU_029,Amazon,Central,45,116784.45,0.13,0,0,2983
2023-01-03,SKU_029,D2C,East,41,108305.6,0.2,1,0,3302
2023-02-20,SKU_033,Amazon,West,60,331856.39999999997,0.03,1,0,5702
2023-01-21,SKU_037,Flipkart,South,73,70754.52,0.18,1,1,1182
2023-06-10,SKU_026,Distributor,East,55,152295.0,0.0,1,0,2769
2023-01-10,SKU_048,Retail,East,56,97770.4,0.15,0,0,2054
2023-03-06,SKU_024,Flipkart,Central,77,314551.16,0.27,0,0,5596
2023-03-08,SKU_024,Retail,Central,53,296478.82,0.06,1,0,5951
2023-01-27,SKU_014,D2C,West,43,93592.94,0.02,0,0,2221
2023-02-26,SKU_015,Flipkart,North,63,232911.0,0.0,0,1,3697
2023-03-04,SKU_043,Flipkart,North,44,156180.63999999998,0.02,1,0,3622
2023-04-29,SKU_015,Flipkart,West,42,53894.4,0.2,1,1,1604
